Student Number,Student Name,Module(s),Qualification,Year,Week,Day,Assessment(s),Marks Obtained,Attendance Rate,Canvas Activity Score,Reason for AR,Intervention,Risk Level,Resolved?,NQF Level
24470485,Student_0034,Module1,Programme1,Year2,Week12,Mon,,,0.76,0.76,None,None,Low,Yes,5
23989436,Student_0035,Module4,Programme2,Year1,Week8,Wed,Assignment2,58.8,0.98,0.69,None,None,Low,Yes,6
24307371,Student_0036,Module4,Programme2,Year1,Week10,Wed,Assignment1,60.0,0.91,0.72,None,None,Low,No,6
23486232,Student_0037,Module4,Programme2,Year1,Week11,Wed,,,0.92,0.86,None,None,Low,Yes,6
23917040,Student_0038,Module2,Programme1,Year3,Week7,Tue,Assignment2,48.5,0.62,0.79,Assessment Failure_007,Counselling,High,Yes,5
24548762,Student_0039,Module1,Programme1,Year2,Week6,Wed,Test1,85.7,1.0,0.67,None,None,Low,Yes,5
23156730,Student_0040,Module1,Programme1,Year2,Week6,Mon,,,0.86,0.75,None,None,Low,Yes,5
24919486,Student_0041,Module3,Programme2,Year1,Week5,Thu,Assignment2,59.1,0.76,0.79,None,None,Low,No,6
24433257,Student_0042,Module3,Programme2,Year1,Week6,Thu,,,0.84,0.4,Canvas Activity_007,Mentorship,Medium,Yes,6
24198079,Student_0043,Module3,Programme2,Year1,Week12,Fri,,,0.55,0.86,Class Attendance_007,Tutoring,Medium,Yes,6
23654811,Student_0044,Module3,Programme2,Year1,Week9,Mon,,,0.88,0.6,None,None,Low,Yes,6
23527035,Student_0045,Module5,Programme3,Year1,Week10,Wed,Test2,39.8,0.67,0.57,Assessment Failure_007,Escalation,High,Yes,7
23648143,Student_0046,Module2,Programme1,Year3,Week9,Thu,,,0.62,0.48,Canvas Activity_007,Email Reminder,Medium,Yes,5
24500942,Student_0047,Module3,Programme2,Year1,Week10,Mon,,,0.59,0.46,Canvas Activity_007,Escalation,High,Yes,6
23065725,Student_0048,Module4,Programme2,Year1,Week8,Thu,,,0.99,0.54,Canvas Activity_007,Tutoring,Medium,Yes,6
24178557,Student_0049,Module3,Programme2,Year1,Week10,Wed,Assignment2,84.0,0.73,0.65,None,None,Low,Yes,6
23084654,Student_0050,Module4,Programme2,Year1,Week9,Thu,,,1.0,1.0,None,None,Low,Yes,6
23953277,Student_0051,Module5,Programme3,Year1,Week10,Fri,,,0.74,0.69,None,None,Low,Yes,7
24954354,Student_0052,Module5,Programme3,Year1,Week8,Fri,,,0.56,0.81,Class Attendance_007,Email Reminder,Medium,Yes,7
23591723,Student_0053,Module1,Programme1,Year2,Week8,Thu,,,0.65,0.85,Class Attendance_007,Email Reminder,Medium,No,5
23319030,Student_0054,Module5,Programme3,Year1,Week1,Mon,,,1.0,0.8,None,None,Low,No,7
24377523,Student_0055,Module3,Programme2,Year1,Week10,Mon,,,0.8,0.77,None,None,Low,Yes,6
23555839,Student_0056,Module2,Programme1,Year3,Week11,Mon,Assignment1,85.9,0.74,0.56,Canvas Activity_007,Email Reminder,Medium,Yes,5
24951224,Student_0057,Module3,Programme2,Year1,Week5,Thu,,,0.84,1.0,None,None,Low,Yes,6
23273538,Student_0058,Module5,Programme3,Year1,Week4,Mon,Test2,69.3,0.9,1.0,None,None,Low,No,7
23331236,Student_0059,Module3,Programme2,Year1,Week2,Wed,Test1,58.9,0.99,0.48,Canvas Activity_007,Tutoring,High,No,6
23528178,Student_0060,Module2,Programme1,Year3,Week8,Fri,Test1,73.5,1.0,0.6,Canvas Activity_007,Tutoring,Medium,No,5
23565894,Student_0061,Module4,Programme2,Year1,Week3,Wed,,,0.77,0.73,None,None,Low,Yes,6
23489492,Student_0062,Module2,Programme1,Year3,Week4,Mon,Assignment1,35.9,0.62,0.61,Assessment Failure_007,Counselling,High,No,5
24305416,Student_0063,Module1,Programme1,Year2,Week12,Wed,,,0.76,0.87,None,None,Low,Yes,5
23473254,Student_0064,Module1,Programme1,Year2,Week7,Mon,,,0.86,0.65,None,None,Low,Yes,5
23349457,Student_0065,Module1,Programme1,Year2,Week10,Thu,Test2,61.5,0.68,1.0,Class Attendance_007,Tutoring,Medium,Yes,5
23665987,Student_0066,Module1,Programme1,Year2,Week9,Wed,Assignment2,76.0,0.68,0.99,Class Attendance_007,Tutoring,Medium,Yes,5
24319512,Student_0067,Module1,Programme1,Year2,Week2,Thu,Assignment1,43.2,0.87,0.82,Assessment Failure_007,Escalation,High,No,5
24288507,Student_0068,Module4,Programme2,Year1,Week3,Thu,,,0.81,0.96,None,None,Low,No,6
24288205,Student_0069,Module1,Programme1,Year2,Week4,Tue,,,0.82,0.98,None,None,Low,No,5
24253617,Student_0070,Module2,Programme1,Year3,Week10,Mon,,,0.71,0.68,None,None,Low,Yes,5
23698361,Student_0071,Module5,Programme3,Year1,Week1,Fri,Assignment1,62.6,0.79,0.63,None,None,Low,Yes,7
24780488,Student_0072,Module3,Programme2,Year1,Week7,Mon,,,0.68,0.79,Class Attendance_007,Tutoring,Medium,No,6
24465689,Student_0073,Module4,Programme2,Year1,Week2,Fri,,,0.95,0.94,None,None,Low,Yes,6
23068148,Student_0074,Module1,Programme1,Year2,Week5,Mon,,,0.98,0.81,None,None,Low,Yes,5
24825665,Student_0075,Module1,Programme1,Year2,Week1,Thu,,,0.54,0.5,Canvas Activity_007,Tutoring,High,No,5
23648531,Student_0076,Module1,Programme1,Year2,Week3,Wed,Test1,44.0,0.68,0.64,Assessment Failure_007,Counselling,High,No,5
24300571,Student_0077,Module1,Programme1,Year2,Week12,Wed,Assignment1,61.9,0.6,0.77,Class Attendance_007,Mentorship,Medium,Yes,5
23906606,Student_0078,Module2,Programme1,Year3,Week2,Tue,Assignment1,52.4,0.72,0.77,None,None,Low,Yes,5
23678843,Student_0079,Module1,Programme1,Year2,Week1,Fri,Test2,55.8,0.81,1.0,None,None,Low,No,5
24959366,Student_0080,Module1,Programme1,Year2,Week7,Fri,Test1,55.3,0.6,0.53,Canvas Activity_007,Mentorship,Medium,No,5
23572843,Student_0081,Module1,Programme1,Year2,Week5,Fri,Assignment1,44.4,0.68,0.87,Assessment Failure_007,Counselling,High,No,5
23256508,Student_0082,Module3,Programme2,Year1,Week1,Thu,Assignment2,26.8,0.67,1.0,Assessment Failure_007,Escalation,High,No,6
23803591,Student_0083,Module2,Programme1,Year3,Week6,Fri,,,0.85,1.0,None,None,Low,No,5
23896942,Student_0084,Module3,Programme2,Year1,Week5,Wed,,,0.83,0.71,None,None,Low,Yes,6
23106530,Student_0085,Module3,Programme2,Year1,Week3,Thu,,,0.71,0.87,None,None,Low,No,6
23604365,Student_0086,Module4,Programme2,Year1,Week12,Mon,,,0.85,0.88,None,None,Low,Yes,6
24870928,Student_0087,Module1,Programme1,Year2,Week7,Fri,Assignment1,96.2,0.74,0.82,None,None,Low,No,5
23460337,Student_0088,Module4,Programme2,Year1,Week11,Fri,,,0.78,0.76,None,None,Low,Yes,6
24773415,Student_0089,Module4,Programme2,Year1,Week10,Mon,Assignment1,91.6,1.0,0.86,None,None,Low,No,6
23805889,Student_0090,Module1,Programme1,Year2,Week9,Fri,,,1.0,0.32,Canvas Activity_007,Mentorship,Medium,Yes,5
24508349,Student_0091,Module5,Programme3,Year1,Week9,Mon,Assignment2,83.0,0.63,0.9,Class Attendance_007,Email Reminder,Medium,No,7
23208261,Student_0092,Module5,Programme3,Year1,Week9,Thu,,,0.94,0.8,None,None,Low,Yes,7
24813045,Student_0093,Module1,Programme1,Year2,Week2,Wed,Test1,50.4,0.94,0.74,None,None,Low,Yes,5
24389673,Student_0094,Module2,Programme1,Year3,Week3,Mon,Assignment1,12.7,0.65,1.0,Assessment Failure_007,Tutoring,High,No,5
24363715,Student_0095,Module4,Programme2,Year1,Week7,Tue,,,0.94,0.66,None,None,Low,Yes,6
24220405,Student_0096,Module4,Programme2,Year1,Week5,Mon,Assignment1,89.7,1.0,0.71,None,None,Low,Yes,6
23271836,Student_0097,Module1,Programme1,Year2,Week2,Fri,,,0.65,1.0,Class Attendance_007,Escalation,High,No,5
24487550,Student_0098,Module2,Programme1,Year3,Week3,Thu,,,0.68,0.63,Class Attendance_007,Tutoring,High,No,5
23989913,Student_0099,Module3,Programme2,Year1,Week10,Thu,,,0.97,0.68,None,None,Low,Yes,6
23202283,Student_0100,Module3,Programme2,Year1,Week6,Mon,,,0.86,0.75,None,None,Low,No,6
23196769,Student_0101,Module4,Programme2,Year1,Week7,Wed,,,0.9,0.93,None,None,Low,No,6
23561353,Student_0102,Module3,Programme2,Year1,Week9,Tue,Assignment2,30.6,0.87,0.82,Assessment Failure_007,Counselling,High,No,6
24271741,Student_0103,Module3,Programme2,Year1,Week1,Thu,,,0.88,0.55,Canvas Activity_007,Tutoring,High,No,6
24672163,Student_0104,Module4,Programme2,Year1,Week11,Fri,,,0.62,0.68,Class Attendance_007,Mentorship,Medium,Yes,6
24046797,Student_0105,Module1,Programme1,Year2,Week7,Fri,,,0.98,0.67,None,None,Low,No,5
23950110,Student_0106,Module2,Programme1,Year3,Week8,Wed,Test1,70.3,1.0,0.77,None,None,Low,Yes,5
24584398,Student_0107,Module4,Programme2,Year1,Week12,Thu,,,0.79,0.86,None,None,Low,Yes,6
23487879,Student_0108,Module5,Programme3,Year1,Week3,Mon,,,0.81,0.86,None,None,Low,Yes,7
23564685,Student_0109,Module3,Programme2,Year1,Week4,Fri,,,0.59,0.46,Canvas Activity_007,Tutoring,High,No,6
23782038,Student_0110,Module3,Programme2,Year1,Week10,Wed,Test1,79.5,0.9,0.97,None,None,Low,Yes,6
24402107,Student_0111,Module1,Programme1,Year2,Week6,Thu,Test1,69.5,0.91,0.83,None,None,Low,Yes,5
24311736,Student_0112,Module3,Programme2,Year1,Week10,Thu,Test1,66.0,0.81,1.0,None,None,Low,Yes,6
24007293,Student_0113,Module3,Programme2,Year1,Week7,Thu,,,0.99,0.86,None,None,Low,No,6
23579879,Student_0114,Module2,Programme1,Year3,Week4,Thu,,,0.77,0.98,None,None,Low,Yes,5
24269460,Student_0115,Module2,Programme1,Year3,Week8,Thu,,,0.9,0.86,None,None,Low,Yes,5
23023247,Student_0116,Module3,Programme2,Year1,Week5,Fri,Assignment1,62.7,0.67,1.0,Class Attendance_007,Email Reminder,Medium,No,6
24072876,Student_0117,Module1,Programme1,Year2,Week1,Wed,Test2,73.9,0.82,0.87,None,None,Low,No,5
24515857,Student_0118,Module2,Programme1,Year3,Week4,Thu,,,0.79,0.76,None,None,Low,No,5
23607086,Student_0119,Module2,Programme1,Year3,Week3,Tue,,,0.85,1.0,None,None,Low,Yes,5
23533556,Student_0120,Module2,Programme1,Year3,Week9,Tue,,,0.76,0.94,None,None,Low,Yes,5
24397527,Student_0121,Module1,Programme1,Year2,Week8,Wed,Test2,52.8,0.8,0.88,None,None,Low,Yes,5
24322905,Student_0122,Module5,Programme3,Year1,Week1,Mon,,,0.94,0.55,Canvas Activity_007,Tutoring,High,No,7
24767640,Student_0123,Module3,Programme2,Year1,Week11,Mon,Test2,59.0,0.75,0.55,Canvas Activity_007,Tutoring,Medium,No,6
23742139,Student_0124,Module4,Programme2,Year1,Week6,Mon,,,0.58,0.83,Class Attendance_007,Email Reminder,Medium,Yes,6
23432315,Student_0125,Module4,Programme2,Year1,Week9,Tue,Assignment2,69.0,1.0,0.81,None,None,Low,No,6
23926075,Student_0126,Module3,Programme2,Year1,Week7,Mon,,,1.0,0.67,None,None,Low,Yes,6
23516588,Student_0127,Module1,Programme1,Year2,Week4,Fri,Test1,56.2,0.63,0.81,Class Attendance_007,Email Reminder,Medium,No,5
24285160,Student_0128,Module3,Programme2,Year1,Week1,Thu,,,0.92,1.0,None,None,Low,Yes,6
24610908,Student_0129,Module3,Programme2,Year1,Week12,Tue,,,0.74,0.91,None,None,Low,Yes,6
24886222,Student_0130,Module4,Programme2,Year1,Week2,Wed,,,0.86,0.57,Canvas Activity_007,Tutoring,High,No,6
23978732,Student_0131,Module3,Programme2,Year1,Week12,Wed,Assignment1,92.9,0.86,0.76,None,None,Low,No,6
24425472,Student_0132,Module1,Programme1,Year2,Week5,Thu,Assignment1,60.2,0.78,0.64,None,None,Low,Yes,5
23048984,Student_0133,Module2,Programme1,Year3,Week12,Tue,Test2,67.9,0.7,0.71,None,None,Low,Yes,5
23302918,Student_0134,Module3,Programme2,Year1,Week11,Mon,,,0.72,0.71,None,None,Low,Yes,6
23264712,Student_0135,Module4,Programme2,Year1,Week5,Mon,Test1,47.4,0.68,0.69,Assessment Failure_007,Tutoring,High,Yes,6
24168727,Student_0136,Module3,Programme2,Year1,Week8,Fri,,,0.7,0.55,Canvas Activity_007,Mentorship,Medium,Yes,6
24504384,Student_0137,Module3,Programme2,Year1,Week6,Fri,,,0.81,0.76,None,None,Low,Yes,6
23133767,Student_0138,Module5,Programme3,Year1,Week8,Mon,,,0.71,0.68,None,None,Low,Yes,7
23648663,Student_0139,Module4,Programme2,Year1,Week2,Wed,Assignment1,64.7,0.92,0.25,Canvas Activity_007,Escalation,High,No,6
24752126,Student_0140,Module2,Programme1,Year3,Week3,Wed,,,1.0,1.0,None,None,Low,Yes,5
23136330,Student_0141,Module1,Programme1,Year2,Week6,Fri,Test2,47.9,0.73,0.98,Assessment Failure_007,Tutoring,High,Yes,5
23480754,Student_0142,Module1,Programme1,Year2,Week12,Thu,,,0.86,0.71,None,None,Low,Yes,5
24350224,Student_0143,Module2,Programme1,Year3,Week10,Mon,,,0.89,0.78,None,None,Low,Yes,5
24737095,Student_0144,Module1,Programme1,Year2,Week3,Fri,Test1,43.9,0.89,0.57,Assessment Failure_007,Tutoring,High,Yes,5
23013986,Student_0145,Module1,Programme1,Year2,Week6,Fri,Test1,55.9,0.83,1.0,None,None,Low,Yes,5
23586146,Student_0146,Module2,Programme1,Year3,Week6,Mon,,,0.93,1.0,None,None,Low,No,5
24177888,Student_0147,Module1,Programme1,Year2,Week2,Mon,,,0.89,0.81,None,None,Low,No,5
23012666,Student_0148,Module5,Programme3,Year1,Week7,Wed,Test2,51.9,0.63,0.96,Class Attendance_007,Tutoring,Medium,No,7
24349380,Student_0149,Module1,Programme1,Year2,Week12,Thu,,,0.95,0.81,None,None,Low,Yes,5
23134633,Student_0150,Module3,Programme2,Year1,Week2,Thu,Test1,86.5,0.95,0.54,Canvas Activity_007,Counselling,High,No,6
23288998,Student_0151,Module3,Programme2,Year1,Week6,Mon,Test1,75.7,0.71,0.71,None,None,Low,Yes,6
23850937,Student_0152,Module5,Programme3,Year1,Week1,Tue,,,0.83,0.8,None,None,Low,Yes,7
23628776,Student_0153,Module1,Programme1,Year2,Week3,Fri,,,0.92,0.7,None,None,Low,No,5
24756187,Student_0154,Module3,Programme2,Year1,Week2,Fri,,,0.79,0.74,None,None,Low,Yes,6
24333382,Student_0155,Module5,Programme3,Year1,Week7,Mon,Assignment1,88.1,0.98,0.76,None,None,Low,Yes,7
24843400,Student_0156,Module5,Programme3,Year1,Week4,Tue,,,1.0,0.77,None,None,Low,Yes,7
24079111,Student_0157,Module4,Programme2,Year1,Week8,Wed,Test2,58.8,0.7,0.79,None,None,Low,Yes,6
23996107,Student_0158,Module2,Programme1,Year3,Week6,Mon,Test2,63.5,0.61,0.59,Canvas Activity_007,Tutoring,Medium,No,5
24424289,Student_0159,Module1,Programme1,Year2,Week12,Mon,,,0.87,0.65,None,None,Low,Yes,5
23838688,Student_0160,Module4,Programme2,Year1,Week10,Fri,Assignment1,82.3,0.93,0.55,Canvas Activity_007,Mentorship,Medium,Yes,6
23351279,Student_0161,Module5,Programme3,Year1,Week4,Mon,,,0.79,0.96,None,None,Low,Yes,7
23913910,Student_0162,Module3,Programme2,Year1,Week5,Mon,,,1.0,0.4,Canvas Activity_007,Tutoring,Medium,Yes,6
24870230,Student_0163,Module3,Programme2,Year1,Week9,Mon,Test1,80.2,0.62,0.99,Class Attendance_007,Tutoring,Medium,Yes,6
24650237,Student_0164,Module2,Programme1,Year3,Week7,Fri,Test1,61.2,0.92,1.0,None,None,Low,No,5
24696548,Student_0165,Module4,Programme2,Year1,Week10,Wed,Assignment2,86.8,0.73,0.73,None,None,Low,Yes,6
23489570,Student_0166,Module1,Programme1,Year2,Week9,Wed,Test1,49.9,1.0,0.31,Assessment Failure_007,Tutoring,High,Yes,5
24505127,Student_0167,Module2,Programme1,Year3,Week7,Mon,,,1.0,0.71,None,None,Low,Yes,5
24321685,Student_0168,Module3,Programme2,Year1,Week12,Fri,,,0.71,0.77,None,None,Low,Yes,6
23024538,Student_0169,Module3,Programme2,Year1,Week1,Wed,Test2,62.1,0.74,0.6,Canvas Activity_007,Counselling,High,No,6
23894498,Student_0170,Module2,Programme1,Year3,Week12,Wed,Test1,35.4,0.95,0.69,Assessment Failure_007,Escalation,High,Yes,5
23201664,Student_0171,Module1,Programme1,Year2,Week8,Wed,,,0.76,1.0,None,None,Low,Yes,5
23491234,Student_0172,Module4,Programme2,Year1,Week4,Fri,,,0.81,0.9,None,None,Low,No,6
24948260,Student_0173,Module2,Programme1,Year3,Week3,Fri,Assignment1,74.5,0.82,0.61,None,None,Low,No,5
23139182,Student_0174,Module3,Programme2,Year1,Week7,Mon,Test1,74.9,0.53,0.49,Canvas Activity_007,Escalation,High,No,6
24521101,Student_0175,Module1,Programme1,Year2,Week12,Thu,,,0.82,0.72,None,None,Low,Yes,5
24206914,Student_0176,Module3,Programme2,Year1,Week3,Wed,Test2,86.0,0.72,0.74,None,None,Low,No,6
23184064,Student_0177,Module3,Programme2,Year1,Week8,Thu,Test1,100.0,0.75,0.87,None,None,Low,Yes,6
23214020,Student_0178,Module1,Programme1,Year2,Week6,Fri,,,1.0,0.68,None,None,Low,Yes,5
24039577,Student_0179,Module2,Programme1,Year3,Week5,Fri,,,0.63,0.87,Class Attendance_007,Tutoring,Medium,No,5
23623094,Student_0180,Module1,Programme1,Year2,Week4,Fri,,,0.94,1.0,None,None,Low,No,5
24972990,Student_0181,Module1,Programme1,Year2,Week8,Thu,,,0.78,0.93,None,None,Low,Yes,5
23897421,Student_0182,Module5,Programme3,Year1,Week8,Fri,,,0.78,0.77,None,None,Low,Yes,7
23615270,Student_0183,Module2,Programme1,Year3,Week12,Mon,Test2,65.2,0.94,0.75,None,None,Low,Yes,5
24694490,Student_0184,Module4,Programme2,Year1,Week1,Fri,Test1,86.2,0.87,0.72,None,None,Low,Yes,6
24167752,Student_0185,Module2,Programme1,Year3,Week9,Tue,Test1,68.5,0.91,0.99,None,None,Low,No,5
23917710,Student_0186,Module4,Programme2,Year1,Week5,Thu,Test2,53.0,0.97,0.67,None,None,Low,No,6
24266702,Student_0187,Module4,Programme2,Year1,Week4,Tue,,,0.77,0.79,None,None,Low,No,6
23218969,Student_0188,Module3,Programme2,Year1,Week6,Fri,,,0.73,0.79,None,None,Low,Yes,6
23122409,Student_0189,Module3,Programme2,Year1,Week6,Mon,,,0.66,0.69,Class Attendance_007,Mentorship,Medium,No,6
24596283,Student_0190,Module3,Programme2,Year1,Week2,Wed,,,0.7,0.53,Canvas Activity_007,Tutoring,High,No,6
23253618,Student_0191,Module2,Programme1,Year3,Week8,Fri,Assignment2,51.8,1.0,0.84,None,None,Low,Yes,5
23769598,Student_0192,Module5,Programme3,Year1,Week7,Mon,Test2,35.1,1.0,0.77,Assessment Failure_007,Escalation,High,No,7
24098591,Student_0193,Module4,Programme2,Year1,Week1,Thu,,,0.62,0.87,Class Attendance_007,Tutoring,High,No,6
23772838,Student_0194,Module5,Programme3,Year1,Week5,Tue,,,0.62,0.68,Class Attendance_007,Tutoring,Medium,Yes,7
24170672,Student_0195,Module1,Programme1,Year2,Week12,Tue,,,0.89,1.0,None,None,Low,Yes,5
24679923,Student_0196,Module4,Programme2,Year1,Week6,Tue,,,0.9,0.62,None,None,Low,Yes,6
24233916,Student_0197,Module5,Programme3,Year1,Week4,Thu,,,0.9,1.0,None,None,Low,Yes,7
24159263,Student_0198,Module1,Programme1,Year2,Week2,Mon,,,0.78,0.47,Canvas Activity_007,Escalation,High,No,5
23874371,Student_0199,Module1,Programme1,Year2,Week4,Thu,Test1,68.0,0.8,0.86,None,None,Low,Yes,5
24459933,Student_0200,Module4,Programme2,Year1,Week1,Tue,,,0.87,0.87,None,None,Low,No,6
23735716,Student_0201,Module3,Programme2,Year1,Week7,Fri,,,0.83,0.64,None,None,Low,Yes,6
24154454,Student_0202,Module4,Programme2,Year1,Week2,Wed,Assignment1,71.4,0.49,0.86,Class Attendance_007,Tutoring,High,No,6
24775846,Student_0203,Module1,Programme1,Year2,Week2,Thu,,,0.79,1.0,None,None,Low,Yes,5
23973548,Student_0204,Module4,Programme2,Year1,Week9,Thu,Test1,48.6,0.69,0.38,Assessment Failure_007,Tutoring,High,Yes,6
24246862,Student_0205,Module2,Programme1,Year3,Week5,Mon,,,0.85,0.87,None,None,Low,Yes,5
23773290,Student_0206,Module1,Programme1,Year2,Week2,Mon,Assignment2,73.0,1.0,0.33,Canvas Activity_007,Counselling,High,No,5
24823260,Student_0207,Module1,Programme1,Year2,Week11,Thu,,,0.88,0.61,None,None,Low,Yes,5
24213475,Student_0208,Module4,Programme2,Year1,Week9,Tue,Test1,58.1,0.77,1.0,None,None,Low,Yes,6
24373343,Student_0209,Module4,Programme2,Year1,Week9,Wed,,,0.96,0.68,None,None,Low,Yes,6
23999238,Student_0210,Module3,Programme2,Year1,Week1,Mon,Test2,51.1,0.89,0.57,Canvas Activity_007,Counselling,High,No,6
23861882,Student_0211,Module3,Programme2,Year1,Week11,Tue,Assignment2,55.8,0.88,0.74,None,None,Low,Yes,6
24928434,Student_0212,Module5,Programme3,Year1,Week3,Fri,,,0.91,1.0,None,None,Low,No,7
23379989,Student_0213,Module3,Programme2,Year1,Week4,Mon,,,1.0,0.45,Canvas Activity_007,Email Reminder,Medium,No,6
23415515,Student_0214,Module4,Programme2,Year1,Week7,Tue,Assignment2,67.4,0.65,0.59,Canvas Activity_007,Email Reminder,Medium,Yes,6
23043585,Student_0215,Module3,Programme2,Year1,Week10,Tue,Assignment2,48.1,0.89,1.0,Assessment Failure_007,Counselling,High,No,6
24419945,Student_0216,Module3,Programme2,Year1,Week4,Wed,,,0.68,1.0,Class Attendance_007,Tutoring,Medium,No,6
23064044,Student_0217,Module3,Programme2,Year1,Week2,Wed,,,0.9,0.76,None,None,Low,No,6
23960061,Student_0218,Module2,Programme1,Year3,Week7,Fri,,,0.68,0.56,Canvas Activity_007,Mentorship,Medium,Yes,5
23442296,Student_0219,Module4,Programme2,Year1,Week6,Tue,Assignment2,77.4,0.76,1.0,None,None,Low,No,6
23109556,Student_0220,Module3,Programme2,Year1,Week3,Tue,,,0.78,1.0,None,None,Low,No,6
24575557,Student_0221,Module2,Programme1,Year3,Week6,Wed,Test1,69.1,0.97,0.9,None,None,Low,Yes,5
24930267,Student_0222,Module5,Programme3,Year1,Week11,Mon,Assignment1,54.3,0.96,0.63,None,None,Low,Yes,7
23767595,Student_0223,Module3,Programme2,Year1,Week6,Mon,,,0.63,0.77,Class Attendance_007,Mentorship,Medium,Yes,6
23200235,Student_0224,Module3,Programme2,Year1,Week12,Thu,,,0.83,0.75,None,None,Low,Yes,6
23025939,Student_0225,Module5,Programme3,Year1,Week5,Wed,,,0.71,0.84,None,None,Low,Yes,7
24201482,Student_0226,Module4,Programme2,Year1,Week4,Thu,Test2,27.7,0.63,1.0,Assessment Failure_007,Counselling,High,No,6
23542335,Student_0227,Module1,Programme1,Year2,Week10,Wed,Assignment2,54.2,0.79,0.94,None,None,Low,Yes,5
